source	target	depth
cognitive computing	enterprise cognitive system	3
cognitive computing	semantic web	3
cognitive computing	social neuroscience	3
cognitive computing	synthetic intelligence	3
cognitive computing	usability	3
cognitive computing	neuromorphic engineering	3
cognitive computing	ai accelerator	3
blue brain project	artificial intelligence	3
blue brain project	brain initiative	3
blue brain project	codi	3
blue brain project	cognitive architecture	3
blue brain project	cognitive science	3
blue brain project	google brain	3
blue brain project	human brain project	3
blue brain project	neuroinformatics	3
blue brain project	noogenesis	3
blue brain project	project joshua blue	3
blue brain project	simulation argument	3
blue brain project	simulated reality	3
blue brain project	social simulation	3
blue brain project	whole brain emulation	3
brain initiative	allen brain atlas	3
brain initiative	blue brain project	3
brain initiative	brainmaps	3
brain initiative	brain mapping foundation	3
brain initiative	brain/minds	3
brain initiative	china brain project	3
brain initiative	decade of the brain	3
brain initiative	decade of the mind	3
brain initiative	g20 world brain mapping & therapeutic scientific summit	3
brain initiative	human brain project	3
brain initiative	human connectome project	3
brain initiative	organization for human brain mapping	3
brain initiative	society for brain mapping and therapeutics	3
brain initiative	spinnaker	3
autonomous agent	actor model	3
autonomous agent	ambient intelligence	3
autonomous agent	autonomous agency theory	3
autonomous agent	embodied agent	3
autonomous agent	intelligent agent	3
autonomous agent	intelligent control	3
autonomous agent	multi-agent system	3
bio-inspired computing	applications of artificial intelligence	2
bio-inspired computing	artificial life	2
bio-inspired computing	artificial neural network	2
bio-inspired computing	behavior based robotics	2
bio-inspired computing	bioinformatics	2
bio-inspired computing	bionics	2
bio-inspired computing	cognitive architecture	2
bio-inspired computing	cognitive modeling	2
bio-inspired computing	cognitive science	2
bio-inspired computing	connectionism	2
bio-inspired computing	digital morphogenesis	2
bio-inspired computing	digital organism	2
bio-inspired computing	evolutionary algorithm	2
bio-inspired computing	evolutionary computation	2
bio-inspired computing	fuzzy logic	2
bio-inspired computing	gene expression programming	2
bio-inspired computing	genetic algorithm	2
bio-inspired computing	genetic programming	2
bio-inspired computing	gerald edelman	2
bio-inspired computing	janine benyus	2
bio-inspired computing	learning classifier system	2
bio-inspired computing	mark a. o'neill	2
bio-inspired computing	mathematical biology	2
bio-inspired computing	mathematical model	2
bio-inspired computing	natural computation	2
bio-inspired computing	neuroevolution	2
bio-inspired computing	olaf sporns	2
bio-inspired computing	organic computing	2
bio-inspired computing	swarm intelligence	2
bio-inspired computing	unconventional computing	2
autoencoder	representation learning	2
autoencoder	sparse dictionary learning	2
autoencoder	deep learning	2
whole brain emulation	mind uploading in fiction	3
whole brain emulation	brain initiative	3
whole brain emulation	brain transplant	3
whole brain emulation	brain-reading	3
whole brain emulation	cyborg	3
whole brain emulation	cylon (reimagining)	3
whole brain emulation	democratic transhumanism	3
whole brain emulation	human brain project	3
whole brain emulation	isolated brain	3
whole brain emulation	neuralink	3
whole brain emulation	posthumanization	3
whole brain emulation	robotoid	3
whole brain emulation	ship of theseus	3
whole brain emulation	simulation hypothesis	3
whole brain emulation	simulism	3
whole brain emulation	synthetic telepathy	3
whole brain emulation	turing test	3
whole brain emulation	the future of work and death	3
whole brain emulation	chinese room	3
project joshua blue	blue brain project	3
project joshua blue	simulated reality	3
simulation argument	artificial life	3
simulation argument	artificial philosophy	3
simulation argument	artificial society	3
simulation argument	computational sociology	3
simulation argument	consensus reality	3
simulation argument	demiurge	3
simulation argument	hyperreality	3
simulation argument	margolus–levitin theorem	3
simulation argument	the matrix defense	3
simulation argument	maya (religion)	3
simulation argument	metaphysics	3
simulation argument	mind uploading	3
simulation argument	openworm	3
simulation argument	philosophy of information	3
simulation argument	social simulation	3
simulation argument	theory of knowledge	3
simulation argument	omega point (tipler)	3
simulation argument	virtual world	3
simulation argument	rené descartes	3
simulation argument	evil demon	3
simulation argument	george berkeley	3
simulation argument	subjective idealism	3
noogenesis	anima mundi	3
noogenesis	anthropocene	3
noogenesis	anthropogenic metabolism	3
noogenesis	anthroposphere	3
noogenesis	collective consciousness	3
noogenesis	russian cosmism	3
noogenesis	victor skumin	3
noogenesis	ecological civilization	3
noogenesis	gaianism	3
noogenesis	global brain	3
noogenesis	human ecology	3
noogenesis	hylozoism	3
noogenesis	ideosphere	3
noogenesis	knowledge ecosystem	3
noogenesis	mind uploading	3
noogenesis	noocracy	3
noogenesis	noology	3
noogenesis	noosfera (icebreaker)	3
noogenesis	nootropic	3
noogenesis	panpsychism	3
noogenesis	presence (telepresence)	3
noogenesis	scale (analytical tool)	3
noogenesis	social organism	3
noogenesis	spiritual ecology	3
noogenesis	technoetics	3
noogenesis	world brain	3
unconventional computing	wdr paper computer	3
unconventional computing	moniac	3
sparse dictionary learning	sparse approximation	3
sparse dictionary learning	sparse pca	3
sparse dictionary learning	k-svd	3
sparse dictionary learning	matrix factorization	3
sparse dictionary learning	sparse coding	3
representation learning	automated machine learning	3
representation learning	deep learning	3
representation learning	feature detection (computer vision)	3
representation learning	feature extraction	3
representation learning	word embedding	3
representation learning	vector quantization	3
representation learning	variational autoencoder	3
swarm intelligence	artificial immune systems	3
swarm intelligence	collaborative intelligence	3
swarm intelligence	collective effervescence	3
swarm intelligence	group mind (science fiction)	3
swarm intelligence	cellular automaton	3
swarm intelligence	complex systems	3
swarm intelligence	differential evolution	3
swarm intelligence	dispersive flies optimisation	3
swarm intelligence	distributed artificial intelligence	3
swarm intelligence	evolutionary computation	3
swarm intelligence	global brain	3
swarm intelligence	harmony search	3
swarm intelligence	multi-agent system	3
swarm intelligence	myrmecology	3
swarm intelligence	promise theory	3
swarm intelligence	quorum sensing	3
swarm intelligence	population protocol	3
swarm intelligence	reinforcement learning	3
swarm intelligence	rule 110	3
swarm intelligence	self-organized criticality	3
swarm intelligence	spiral optimization algorithm	3
swarm intelligence	stochastic optimization	3
swarm intelligence	swarm development group	3
swarm intelligence	swarm robotic platforms	3
swarm intelligence	swarming (military)	3
swarm intelligence	swistrack	3
swarm intelligence	symmetry breaking of escaping ants	3
swarm intelligence	the wisdom of crowds	3
swarm intelligence	wisdom of the crowd	3
organic computing	biologically inspired computing	3
organic computing	autonomic computing	3
olaf sporns	biologically inspired computing	3
olaf sporns	connectome	3
olaf sporns	parmenides foundation	3
olaf sporns	the mind's i	3
neuroevolution	automated machine learning	3
neuroevolution	evolutionary computation	3
neuroevolution	neuroevolution of augmenting topologies	3
neuroevolution	noogenesis	3
neuroevolution	hyperneat	3
neuroevolution	evolutionary acquisition of neural topologies	3
natural computation	computational intelligence	3
natural computation	bio-inspired computing	3
natural computation	dna computing	3
natural computation	natural computing (journal)	3
natural computation	quantum computing	3
natural computation	synthetic biology	3
natural computation	unconventional computing	3
mathematical model	agent-based model	3
mathematical model	all models are wrong	3
mathematical model	cliodynamics	3
mathematical model	computer simulation	3
mathematical model	conceptual model	3
mathematical model	decision engineering	3
mathematical model	grey box model	3
mathematical model	international mathematical modeling challenge	3
mathematical model	mathematical biology	3
mathematical model	mathematical diagram	3
mathematical model	mathematical economics	3
mathematical model	mathematical modelling of infectious disease	3
mathematical model	mathematical finance	3
mathematical model	mathematical psychology	3
mathematical model	mathematical sociology	3
mathematical model	microscale and macroscale models	3
mathematical model	model inversion	3
mathematical model	scientific model	3
mathematical model	sensitivity analysis	3
mathematical model	statistical model	3
mathematical model	surrogate model	3
mathematical model	system identification	3
mathematical model	tk solver	3
mathematical biology	biological applications of bifurcation theory	3
mathematical biology	biophysics	3
mathematical biology	biostatistics	3
mathematical biology	entropy and life	3
mathematical biology	ewens's sampling formula	3
mathematical biology	journal of theoretical biology	3
mathematical biology	logistic function	3
mathematical biology	mathematical modelling of infectious disease	3
mathematical biology	metabolic network modelling	3
mathematical biology	molecular modelling	3
mathematical biology	morphometrics	3
mathematical biology	population genetics	3
mathematical biology	spring school on theoretical biology	3
mathematical biology	statistical genetics	3
mathematical biology	theoretical ecology	3
mathematical biology	turing pattern	3
learning classifier system	production system (computer science)	3
learning classifier system	expert system	3
learning classifier system	genetic algorithm	3
learning classifier system	association rule learning	3
learning classifier system	artificial immune system	3
learning classifier system	population-based incremental learning	3
learning classifier system	machine learning	3
janine benyus	biomimicry	3
genetic programming	bio-inspired computing	3
genetic programming	cartesian genetic programming	3
genetic programming	cma-es	3
genetic programming	fitness approximation	3
genetic programming	gene expression programming	3
genetic programming	genetic improvement	3
genetic programming	genetic representation	3
genetic programming	grammatical evolution	3
genetic programming	inductive programming	3
genetic programming	linear genetic programming	3
genetic programming	multi expression programming	3
genetic programming	propagation of schema	3
gene expression programming	symbolic regression	3
gene expression programming	artificial intelligence	3
gene expression programming	decision trees	3
gene expression programming	evolutionary algorithms	3
gene expression programming	genetic algorithms	3
gene expression programming	genetic programming	3
gene expression programming	grammatical evolution	3
gene expression programming	linear genetic programming	3
gene expression programming	machine learning	3
gene expression programming	multi expression programming	3
gene expression programming	artificial neural network	3
fuzzy logic	adaptive neuro fuzzy inference system	3
fuzzy logic	artificial neural network	3
fuzzy logic	defuzzification	3
fuzzy logic	expert system	3
fuzzy logic	false dilemma	3
fuzzy logic	fuzzy architectural spatial analysis	3
fuzzy logic	fuzzy classification	3
fuzzy logic	fuzzy concept	3
fuzzy logic	fuzzy control language	3
fuzzy logic	fuzzy control system	3
fuzzy logic	fuzzy electronics	3
fuzzy logic	fuzzy subalgebra	3
fuzzy logic	fuzzyclips	3
fuzzy logic	high performance fuzzy computing	3
fuzzy logic	ieee computational intelligence society	3
fuzzy logic	interval finite element	3
fuzzy logic	machine learning	3
fuzzy logic	neuro-fuzzy	3
fuzzy logic	noise-based logic	3
fuzzy logic	rough set	3
fuzzy logic	sorites paradox	3
fuzzy logic	type-2 fuzzy sets and systems	3
fuzzy logic	vector logic	3
evolutionary computation	adaptive dimensional search	3
evolutionary computation	artificial development	3
evolutionary computation	autoconstructive	3
evolutionary computation	developmental biology	3
evolutionary computation	digital organism	3
evolutionary computation	estimation of distribution algorithm	3
evolutionary computation	evolutionary robotics	3
evolutionary computation	evolved antenna	3
evolutionary computation	fitness approximation	3
evolutionary computation	fitness function	3
evolutionary computation	fitness landscape	3
evolutionary computation	genetic operators	3
evolutionary computation	grammatical evolution	3
evolutionary computation	human-based evolutionary computation	3
evolutionary computation	inferential programming	3
evolutionary computation	interactive evolutionary computation	3
evolutionary computation	mutation testing	3
evolutionary computation	no free lunch in search and optimization	3
evolutionary computation	program synthesis	3
evolutionary computation	test functions for optimization	3
evolutionary computation	unconventional computing	3
evolutionary computation	universal darwinism	3
gerald edelman	biologically inspired computing	3
gerald edelman	embodied philosophy	3
gerald edelman	embodied cognition	3
gerald edelman	reentry (neural circuitry)	3
digital organism	artificial life	3
digital organism	evolutionary computation	3
digital organism	genetic algorithm	3
digital organism	combinatorial optimization	3
digital organism	cellular automaton	3
digital organism	evolution@home	3
digital organism	polyworld	3
digital morphogenesis	bionics	3
digital morphogenesis	biomimicry	3
digital morphogenesis	digital architecture	3
digital morphogenesis	blobitecture	3
digital morphogenesis	generative art	3
digital morphogenesis	evolutionary art	3
digital morphogenesis	evolutionary computation	3
connectionism	associationism	3
connectionism	artificial intelligence	3
connectionism	behaviorism	3
connectionism	catastrophic interference	3
connectionism	calculus of relations	3
connectionism	cybernetics	3
connectionism	deep learning	3
connectionism	eliminative materialism	3
connectionism	feature integration theory	3
connectionism	genetic algorithm	3
connectionism	harmonic grammar	3
connectionism	machine learning	3
connectionism	pandemonium architecture	3
connectionism	self-organizing map	3
cognitive modeling	computational cognition	3
cognitive modeling	computational models of language acquisition	3
cognitive modeling	computational-representational understanding of mind	3
cognitive modeling	mindmodeling@home	3
cognitive modeling	memory-prediction framework	3
cognitive modeling	space mapping	3
bionics	biomechatronics	3
bionics	biomedical engineering	3
bionics	biomimetics	3
bionics	the bionic woman	3
bionics	bionic woman (2007 tv series)	3
bionics	bionic architecture	3
bionics	biophysics	3
bionics	biotechnology	3
bionics	cyborg	3
bionics	cyborg (novel)	3
bionics	history of technology	3
bionics	implant (medicine)	3
bionics	neuroprosthetics	3
bionics	prosthesis	3
bionics	the six million dollar man	3
bionics	wyss institute for biologically inspired engineering	3
bionics	terminator (character)	3
bioinformatics	biodiversity informatics	3
bioinformatics	bioinformatics companies	3
bioinformatics	computational biology	3
bioinformatics	computational biomodeling	3
bioinformatics	computational genomics	3
bioinformatics	cyberbiosecurity	3
bioinformatics	functional genomics	3
bioinformatics	health informatics	3
bioinformatics	international society for computational biology	3
bioinformatics	jumping library	3
bioinformatics	metabolomics	3
bioinformatics	nucleic acid sequence	3
bioinformatics	phylogenetics	3
bioinformatics	proteomics	3
bioinformatics	gene disease database	3
behavior based robotics	autonomous robot	3
behavior based robotics	bio-inspired robotics	3
behavior based robotics	embodied cognitive science	3
behavior based robotics	hierarchical control system	3
behavior based robotics	luc steels	3
human brain project	blue brain project	3
human brain project	brain initiative	3
human brain project	brain/minds	3
human brain project	china brain project	3
human brain project	decade of the brain	3
human brain project	decade of the mind	3
human brain project	human connectome project	3
human brain project	noogenesis	3
human brain project	spinnaker	3
applications of artificial intelligence	applications of artificial intelligence to legal informatics	3
applications of artificial intelligence	applications of deep learning	3
applications of artificial intelligence	applications of machine learning	3
applications of artificial intelligence	collective intelligence	3
applications of artificial intelligence	progress in artificial intelligence	3
applications of artificial intelligence	open data	3
applications of artificial intelligence	timeline of computing {{currentdecade}}–present	3
adaline	multilayer perceptron	2
